AXISBANK,2018: ROE differs from source by >5%; category=data source issue; computed=0.42985967262136526; source=18.4
AXISBANK,2019: OPM mismatch; category=data source issue; computed=49.385298075873855; source=-5447.0
AXISBANK,2019: ROE differs from source by >5%; category=data source issue; computed=6.898026606884752; source=18.4
AXISBANK,2020: OPM mismatch; category=data source issue; computed=55.984673106090845; source=-9859.0
AXISBANK,2020: ROE differs from source by >5%; category=data source issue; computed=1.8844104702339586; source=18.4
AXISBANK,2021: OPM mismatch; category=data source issue; computed=50.119976004799035; source=-2510.0
AXISBANK,2021: ROE differs from source by >5%; category=data source issue; computed=6.359441666505782; source=18.4
AXISBANK,2022: OPM mismatch; category=data source issue; computed=44.4691808777476; source=3170.0
AXISBANK,2022: ROE differs from source by >5%; category=data source issue; computed=11.01377461716035; source=18.4
AXISBANK,2023: OPM mismatch; category=data source issue; computed=34.15645108261707; source=13857.0
AXISBANK,2023: ROE differs from source by >5%; category=data source issue; computed=7.381666037401469; source=18.4
AXISBANK,2024: OPM mismatch; category=data source issue; computed=34.69264599658038; source=11952.0
AXISBANK,TTM: OPM mismatch; category=data source issue; computed=36.935495901673306; source=9061.0
BAJAJ-AUTO,2013: ROCE differs from source by >5%; category=version difference; computed=54.34543454345434; source=33.5
BAJAJ-AUTO,2013: ROE differs from source by >5%; category=data source issue; computed=38.84686918784873; source=26.5
BAJAJ-AUTO,2014: ROCE differs from source by >5%; category=version difference; computed=47.30099745746138; source=33.5
BAJAJ-AUTO,2014: ROE differs from source by >5%; category=data source issue; computed=33.24481164551982; source=26.5
BAJAJ-AUTO,2015: ROCE differs from source by >5%; category=version difference; computed=38.86856429017578; source=33.5
BAJAJ-AUTO,2016: ROCE differs from source by >5%; category=version difference; computed=42.34686660065073; source=33.5
BAJAJ-AUTO,2018: ROE differs from source by >5%; category=data source issue; computed=20.656058751529986; source=26.5
BAJAJ-AUTO,2019: ROE differs from source by >5%; category=data source issue; computed=21.211208195239532; source=26.5
BAJAJ-AUTO,2021: ROCE differs from source by >5%; category=version difference; computed=23.75702708622326; source=33.5
BAJAJ-AUTO,2021: ROE differs from source by >5%; category=data source issue; computed=17.808821911780882; source=26.5
BAJAJ-AUTO,2022: ROCE differs from source by >5%; category=version difference; computed=26.449202855046362; source=33.5
BAJAJ-AUTO,2022: ROE differs from source by >5%; category=data source issue; computed=20.650390167118793; source=26.5
BAJAJ-AUTO,2023: ROCE differs from source by >5%; category=version difference; computed=27.70128196432205; source=33.5
BAJAJ-AUTO,2023: ROE differs from source by >5%; category=data source issue; computed=20.638921054424088; source=26.5
BAJAJFINSV,2013: ROE differs from source by >5%; category=data source issue; computed=28.377339143809277; source=11.72
BAJAJFINSV,2014: ROCE differs from source by >5%; category=version difference; computed=15.593879038134565; source=21.14
BAJAJFINSV,2014: ROE differs from source by >5%; category=data source issue; computed=23.528780068728523; source=11.72
BAJAJFINSV,2015: ROCE differs from source by >5%; category=version difference; computed=14.75628993877169; source=21.14
BAJAJFINSV,2015: ROE differs from source by >5%; category=data source issue; computed=21.724231220128054; source=11.72
BAJAJFINSV,2016: ROCE differs from source by >5%; category=version difference; computed=13.570004631400897; source=21.14
BAJAJFINSV,2016: ROE differs from source by >5%; category=data source issue; computed=20.405912199426428; source=11.72
BAJAJFINSV,2017: ROCE differs from source by >5%; category=version difference; computed=13.522573836388185; source=21.14
BAJAJFINSV,2017: ROE differs from source by >5%; category=data source issue; computed=21.360906445421335; source=11.72
BAJAJFINSV,2018: ROCE differs from source by >5%; category=version difference; computed=12.51943651511987; source=21.14
BAJAJFINSV,2018: ROE differs from source by >5%; category=data source issue; computed=20.387638529512277; source=11.72
BAJAJFINSV,2019: ROCE differs from source by >5%; category=version difference; computed=12.177919575040082; source=21.14
BAJAJFINSV,2019: ROE differs from source by >5%; category=data source issue; computed=22.636899747262003; source=11.72
BAJAJFINSV,2020: ROCE differs from source by >5%; category=version difference; computed=11.518225519512471; source=21.14
BAJAJFINSV,2020: ROE differs from source by >5%; category=data source issue; computed=19.148936170212767; source=11.72
BAJAJFINSV,2021: ROCE differs from source by >5%; category=version difference; computed=11.950745932522171; source=21.14
BAJAJFINSV,2021: ROE differs from source by >5%; category=data source issue; computed=20.56098241696902; source=11.72
BAJAJFINSV,2022: ROCE differs from source by >5%; category=version difference; computed=10.655526098914738; source=21.14
BAJAJFINSV,2022: ROE differs from source by >5%; category=data source issue; computed=20.657440306109773; source=11.72
